Ticker;CompanyName
STRL;STERLING INFRASTRUCTURE, INC.
KBH;KB HOME
MATX;Matson, Inc.
RDNT;RadNet, Inc.
EXPO;EXPONENT INC
MAC;MACERICH CO
BDC;BELDEN INC.
IESC;IES Holdings, Inc.
NJR;NEW JERSEY RESOURCES CORP
CNX;CNX Resources Corp
AEL;American National Group Inc.
SKYW;SKYWEST INC
ROAD;Construction Partners, Inc.
VCTR;Victory Capital Holdings, Inc.
PECO;Phillips Edison & Company, Inc.
IRT;INDEPENDENCE REALTY TRUST, INC.
SM;SM Energy Co
CTRE;CareTrust REIT, Inc.
KRYS;Krystal Biotech, Inc.
BGC;BGC Group, Inc.
BRZE;Braze, Inc.
CNS;COHEN & STEERS, INC.
FTDR;Frontdoor, Inc.
AESI;Atlas Energy Solutions Inc.
POR;PORTLAND GENERAL ELECTRIC CO /OR/
SR;SPIRE MISSOURI INC
IPAR;INTERPARFUMS INC
KAI;KADANT INC
GLNG;GOLAR LNG LTD
PBH;Prestige Consumer Healthcare Inc.
PRIM;Primoris Services Corp
VRRM;VERRA MOBILITY Corp
BKH;BLACK HILLS CORP /SD/
SLG;SL GREEN REALTY CORP
AEIS;ADVANCED ENERGY INDUSTRIES INC
CNO;CNO Financial Group, Inc.
DOCN;DigitalOcean Holdings, Inc.
CVCO;CAVCO INDUSTRIES INC.
TDS;TELEPHONE & DATA SYSTEMS INC /DE/
MWA;Mueller Water Products, Inc.
ESE;ESCO TECHNOLOGIES INC
PNM;PNM Resources Inc
ELF;e.l.f. Beauty, Inc.
PJT;PJT Partners Inc.
CARG;CarGurus, Inc.
GBTG;Global Business Travel Group, Inc.
IBOC;INTERNATIONAL BANCSHARES CORP
GHC;Graham Holdings Co
SGHC;Super Group (SGHC) Ltd
AX;Axos Financial, Inc.
RNA;Avidity Biosciences, Inc.
GSHD;Goosehead Insurance, Inc.
MUR;MURPHY OIL CORP
JBT;JBT Marel Corp
UNF;UNIFIRST CORP
HGV;Hilton Grand Vacations Inc.
UCBI;
NNI;NELNET INC
BLKB;BLACKBAUD INC
KGS;Kodiak Gas Services, Inc.
BCO;BRINKS CO
NPO;Enpro Inc.
BL;BLACKLINE, INC.
EBC;Eastern Bankshares, Inc.
ATGE;Adtalem Global Education Inc.
SWTX;SpringWorks Therapeutics, Inc.
SITM;SITIME Corp
BANF;BANCFIRST CORP /OK/
OGS;ONE Gas, Inc.
ENS;EnerSys
HLMN;Hillman Solutions Corp.
MMS;MAXIMUS, INC.
PLXS;PLEXUS CORP
SBRA;Sabra Health Care REIT, Inc.
GVA;GRANITE CONSTRUCTION INC
GOLF;Acushnet Holdings Corp.
ORA;ORMAT TECHNOLOGIES, INC.
RIOT;Riot Platforms, Inc.
HL;HECLA MINING CO/DE/
GEO;GEO GROUP INC
DORM;Dorman Products, Inc.
PTCT;PTC THERAPEUTICS, INC.
AVNT;AVIENT CORP
SMPL;Simply Good Foods Co
SNEX;StoneX Group Inc.
ALE;ALLETE INC
TCBI;TEXAS CAPITAL BANCSHARES INC/TX
MIR;Mirion Technologies, Inc.
FIZZ;NATIONAL BEVERAGE CORP
COMP;Compass, Inc.
ASB;ASSOCIATED BANC-CORP
PAYO;Payoneer Global Inc.
GFF;GRIFFON CORP
FULT;FULTON FINANCIAL CORP
AVPT;AvePoint, Inc.
APLE;Apple Hospitality REIT, Inc.
ASO;Academy Sports & Outdoors, Inc.
SKT;TANGER INC.
ALIT;Alight, Inc. / Delaware
OSCR;Oscar Health, Inc.
PRCT;PROCEPT BioRobotics Corp
AXNX;Axonics, Inc.
NOG;NORTHERN OIL & GAS, INC.
RYTM;RHYTHM PHARMACEUTICALS, INC.
APAM;Artisan Partners Asset Management Inc.
SRRK;Scholar Rock Holding Corp
AKRO;Akero Therapeutics, Inc.
CRC;California Resources Corp
ALKT;ALKAMI TECHNOLOGY, INC.
ASGN;ASGN Inc
PCH;POTLATCHDELTIC CORP
PTEN;PATTERSON UTI ENERGY INC
ENV;Enav S.p.A.
KFY;KORN FERRY
INST;INSTRUCTURE HOLDINGS, INC.
OSIS;OSI SYSTEMS INC
RXO;RXO, Inc.
CRGY;Crescent Energy Co
IRTC;iRhythm Technologies, Inc.
VAL;Valaris Ltd
HASI;HA Sustainable Infrastructure Capital, Inc.
ATMU;Atmus Filtration Technologies Inc.
FBP;FIRST BANCORP /PR/
FIBK;FIRST INTERSTATE BANCSYSTEM INC
VKTX;Viking Therapeutics, Inc.
SG;Sweetgreen, Inc.
IGT;International Game Technology PLC
WSFS;WSFS FINANCIAL CORP
FA;FIRST ADVANTAGE CORP
FUL;FULLER H B CO
TPH;Tri Pointe Homes, Inc.
ABM;ABM INDUSTRIES INC /DE/
OTTR;Otter Tail Corp
IMVT;Immunovant, Inc.
PBF;PBF Energy Inc.
GPOR;GULFPORT ENERGY CORP
CATY;CATHAY GENERAL BANCORP
POWI;POWER INTEGRATIONS INC
NWE;Northwestern Energy Group, Inc.
EE;Excelerate Energy, Inc.
GMS;GMS Inc.
RSI;Rush Street Interactive, Inc.
SGRY;Surgery Partners, Inc.
VCYT;VERACYTE, INC.
CDP;COPT DEFENSE PROPERTIES
SXT;SENSIENT TECHNOLOGIES CORP
YOU;Clear Secure, Inc.
WRBY;Warby Parker Inc.
AMBA;AMBARELLA INC
REZI;RESIDEO TECHNOLOGIES, INC.
MHO;M/I HOMES, INC.
PTVE;Pactiv Evergreen Inc.
HEES;H&E Equipment Services, Inc.
GRND;Grindr Inc.
CADE;Cadence Bank
WD;Walker & Dunlop, Inc.
WDFC;WD 40 CO
GNW;GENWORTH FINANCIAL INC
ACAD;ACADIA PHARMACEUTICALS INC
CLSK;CLEANSPARK, INC.
PATK;PATRICK INDUSTRIES INC
SLVM;Sylvamo Corp
SWI;SolarWinds Corp
ALRM;Alarm.com Holdings, Inc.
LFST;LifeStance Health Group, Inc.
HAE;HAEMONETICS CORP
TRN;TRINITY INDUSTRIES INC
NHI;NATIONAL HEALTH INVESTORS INC
CWK;Cushman & Wakefield plc
OUT;OUTFRONT Media Inc.
NSP;INSPERITY, INC.
BKU;BankUnited, Inc.
BFH;BREAD FINANCIAL HOLDINGS, INC.
DNLI;Denali Therapeutics Inc.
PI;IMPINJ INC
LAUR;LAUREATE EDUCATION, INC.
ENVA;Enova International, Inc.
USLM;UNITED STATES LIME & MINERALS INC
MGRC;MCGRATH RENTCORP
TEX;TEREX CORP
GSAT;Globalstar, Inc.
TGNA;TEGNA INC
UEC;URANIUM ENERGY CORP
TDW;TIDEWATER INC
DOOR;MASONITE INTERNATIONAL CORP
STNE;StoneCo Ltd.
AZZ;AZZ INC
AVA;AVISTA CORP
PSMT;PRICESMART INC
PLMR;Palomar Holdings, Inc.
MGNI;MAGNITE, INC.
TWST;Twist Bioscience Corp
VCEL;Vericel Corp
TBBK;Bancorp, Inc.
NMIH;NMI Holdings, Inc.
DEI;Douglas Emmett Inc
FOLD;AMICUS THERAPEUTICS, INC.
GEF;GREIF, INC
GEFB;GREIF, INC
AEO;AMERICAN EAGLE OUTFITTERS INC
PRKS;United Parks & Resorts Inc.
PRVA;Privia Health Group, Inc.
SFNC;SIMMONS FIRST NATIONAL CORP
MORF;Morphic Holding, Inc.
ENFN;Enfusion, Inc.
BRP;CALERES INC
SMTC;SEMTECH CORP
KNSA;Kiniksa Pharmaceuticals International, plc
CVBF;CVB FINANCIAL CORP
CDE;Coeur Mining, Inc.
MCY;MERCURY GENERAL CORP
LBRT;Liberty Energy Inc.
VIAV;VIAVI SOLUTIONS INC.
HCC;WARRIOR MET COAL, INC.
AKR;ACADIA REALTY TRUST
HTLF;HEARTLAND FINANCIAL USA INC
AWR;AMERICAN STATES WATER CO
IOSP;INNOSPEC INC.
FORM;FORMFACTOR INC
ALHC;Alignment Healthcare, Inc.
CALX;CALIX, INC
PRK;PARK NATIONAL CORP /OH/
CPK;CHESAPEAKE UTILITIES CORP
PDCO;PATTERSON COMPANIES, INC.
HP;Helmerich & Payne, Inc.
SHOO;STEVEN MADDEN, LTD.
BATRA;Atlanta Braves Holdings, Inc.
BATRK;Atlanta Braves Holdings, Inc.
SYNA;SYNAPTICS Inc
JOE;ST JOE Co
CPRX;CATALYST PHARMACEUTICALS, INC.
CAKE;The Cheesecake Factory Incorporated
FFBC;FIRST FINANCIAL BANCORP /OH/
LMND;Lemonade, Inc.
SEMR;SEMrush Holdings, Inc.
SIX;Sixty Six Capital Inc.
FCPT;Four Corners Property Trust, Inc.
PRFT;PERFICIENT INC
GCMG;GCM Grosvenor Inc.
OPFI;OppFi Inc.
POWL;POWELL INDUSTRIES INC
HBI;Hanesbrands Inc.
FLYW;Flywire Corp
AMK;AMKOR TECHNOLOGY, INC.
PSFE;Paysafe Ltd
LIVN;LivaNova PLC
GRBK;Green Brick Partners, Inc.
YELP;YELP INC
VSTO;Vista Outdoor Inc.
BHVN;Biohaven Ltd.
CWT;CALIFORNIA WATER SERVICE GROUP
TTMI;TTM TECHNOLOGIES INC
LCII;LCI INDUSTRIES
PAR;PAR TECHNOLOGY CORP
FRME;FIRST MERCHANTS CORP
ABR;ARBOR REALTY TRUST INC
OII;OCEANEERING INTERNATIONAL INC
HUBG;Hub Group, Inc.
BANC;BANC OF CALIFORNIA, INC.
STNG;Scorpio Tankers Inc.
UE;Urban Edge Properties
CENT;CENTRAL GARDEN & PET CO
CENTA;CENTRAL GARDEN & PET CO
PRGS;PROGRESS SOFTWARE CORP /MA
PAGS;PagSeguro Digital Ltd.
CEIX;Core Natural Resources Inc.
IBTX;Independent Bank Group, Inc.
ARWR;ARROWHEAD PHARMACEUTICALS, INC.
APPN;APPIAN CORP
PFS;PROVIDENT FINANCIAL SERVICES INC
SAH;SONIC AUTOMOTIVE INC
EWTX;Edgewise Therapeutics, Inc.
SBCF;SEACOAST BANKING CORP OF FLORIDA
EPAC;ENERPAC TOOL GROUP CORP
DIOD;DIODES INC /DEL/
PPBI;PACIFIC PREMIER BANCORP INC
PGTI;PGT Innovations, Inc.
AMRX;Amneal Pharmaceuticals, Inc.
STRA;Strategic Education, Inc.
KWR;QUAKER CHEMICAL CORP
WAFD;WAFD INC
ARCH;Arch Coal Inc
LXP;LXP Industrial Trust
FBK;FB Financial Corp
JJSF;J&J SNACK FOODS CORP
WSBC;WESBANCO INC
LGFA;LIONS GATE ENTERTAINMENT CORP /CN/
LGFB;LIONS GATE ENTERTAINMENT CORP /CN/
SEM;SELECT MEDICAL HOLDINGS CORP
MIRM;Mirum Pharmaceuticals, Inc.
RPD;Rapid7, Inc.
B;BARNES GROUP INC
RNST;RENASANT CORP
SDRL;Seadrill Ltd
ATKR;Atkore Inc.
BANR;BANNER CORP
FLNC;Fluence Energy, Inc.
SOVO;Sovos Brands, Inc.
HWKN;HAWKINS INC
MYRG;MYR GROUP INC.
TGH;Tornado Infrastructure Equipment Inc.
IBRX;ImmunityBio, Inc.
NMRK;NEWMARK GROUP, INC.
VGR;VECTOR GROUP LTD
TMDX;TransMedics Group, Inc.
SIG;SIGNET JEWELERS LTD
VICR;VICOR CORP
HI;Hillenbrand, Inc.
LBPH;Longboard Pharmaceuticals, Inc.
RAMP;LiveRamp Holdings, Inc.
DAN;DANA INC
KYMR;Kymera Therapeutics, Inc.
SXI;STANDEX INTERNATIONAL CORP/DE/
HNI;HNI CORP
GT;GOODYEAR TIRE & RUBBER CO /OH/
CPE;Callon Petroleum Co
TRMK;TRUSTMARK CORP
MTX;MINERALS TECHNOLOGIES INC
BSIG;Acadian Asset Management Inc.
VSH;VISHAY INTERTECHNOLOGY INC
IVT;InvenTrust Properties Corp.
VZIO;Vizio Holding Corp.
ZD;ZIFF DAVIS, INC.
CCS;Century Communities, Inc.
CXM;Sprinklr, Inc.
NBTB;NBT BANCORP INC
SPNT;SiriusPoint Ltd
VERA;Vera Therapeutics, Inc.
OSW;ONESPAWORLD HOLDINGS Ltd
ULCC;Frontier Group Holdings, Inc.
SHO;Sunstone Hotel Investors, Inc.
PTGX;Protagonist Therapeutics, Inc
NEOG;NEOGEN CORP
ENR;ENERGIZER HOLDINGS, INC.
KAR;OPENLANE, Inc.
ROIC;RETAIL OPPORTUNITY INVESTMENTS CORP
JBLU;JETBLUE AIRWAYS CORP
ALG;ALAMO GROUP INC
BKE;BUCKLE INC
DCPH;Deciphera Pharmaceuticals, Inc.
COCO;Vita Coco Company, Inc.
VC;VISTEON CORP
EFSC;ENTERPRISE FINANCIAL SERVICES CORP
HURN;Huron Consulting Group Inc.
LMAT;LEMAITRE VASCULAR INC
SYBT;Stock Yards Bancorp, Inc.
KLIC;KULICKE & SOFFA INDUSTRIES INC
BEAM;Beam Therapeutics Inc.
RXRX;RECURSION PHARMACEUTICALS, INC.
BBAI;BigBear.ai Holdings, Inc.
WLY;JOHN WILEY & SONS, INC.
VSEC;VSE CORP
HRMY;Harmony Biosciences Holdings, Inc.
ARCB;ARCBEST CORP /DE/
ICFI;ICF International, Inc.
AGM;FEDERAL AGRICULTURAL MORTGAGE CORP
LGND;LIGAND PHARMACEUTICALS INC
MBC;MasterBrand, Inc.
CHEF;Chefs' Warehouse, Inc.
PWP;Perella Weinberg Partners
WERN;WERNER ENTERPRISES INC
WOR;WORTHINGTON ENTERPRISES, INC.
EVTC;EVERTEC, Inc.
RVLV;Revolve Group, Inc.
ROVR;Rover Critical Minerals Corp.
ADUS;Addus HomeCare Corp
UPWK;UPWORK, INC
ENVX;Enovix Corp
SUPN;Supernus Pharmaceuticals Inc.
IIPR;INNOVATIVE INDUSTRIAL PROPERTIES INC
MTRN;MATERION Corp
AVDX;AvidXchange Holdings, Inc.
CNMD;CONMED Corp
CXW;CoreCivic, Inc.
HTH;Hilltop Holdings Inc.
CIFR;Cipher Mining Inc.
EXTR;EXTREME NETWORKS INC
NEXT;NextDecade Corp.
ATRC;AtriCure, Inc.
JAMF;Jamf Holding Corp.
DFH;Dream Finders Homes, Inc.
GBX;GREENBRIER COMPANIES INC
UFPT;UFP TECHNOLOGIES INC
EVCM;EverCommerce Inc.
LGIH;LGI Homes, Inc.
JANX;Janux Therapeutics, Inc.
OFG;OFG BANCORP
WULF;TERAWULF INC.
TRUP;TRUPANION, INC.
TARS;Tarsus Pharmaceuticals, Inc.
CWH;Camping World Holdings, Inc.
CRNX;Crinetics Pharmaceuticals, Inc.
TGI;TRIUMPH GROUP INC
OMCL;OMNICELL, INC.
FIHL;Fidelis Insurance Holdings Ltd
SKWD;Skyward Specialty Insurance Group, Inc.
INSW;International Seaways, Inc.
DFIN;Donnelley Financial Solutions, Inc.
IDYA;IDEAYA Biosciences, Inc.
AGIO;AGIOS PHARMACEUTICALS, INC.
CVI;CVR ENERGY INC
MBIN;Merchants Bancorp
PL;Planet Labs PBC
NXT;Nextracker Inc.
LEU;CENTRUS ENERGY CORP
AMEH;Amn Mutual Fund
MQ;Marqeta, Inc.
CENX;CENTURY ALUMINUM CO
PGNY;Progyny, Inc.
PLUS;EPLUS INC
SPT;Sprout Social, Inc.
WMK;WEIS MARKETS INC
CASH;PATHWARD FINANCIAL, INC.
PRDO;PERDOCEO EDUCATION Corp
NABL;N-able, Inc.
LZB;LA-Z-BOY INC
GOGL;Golden Ocean Group Ltd
STC;STEWART INFORMATION SERVICES CORP
CSGS;CSG SYSTEMS INTERNATIONAL INC
DBRG;DigitalBridge Group, Inc.
SDGR;Schrodinger, Inc.
ROCK;GIBRALTAR INDUSTRIES, INC.
DHT;DHT Holdings, Inc.
NWLI;National Western Life Group, Inc.
UNFI;UNITED NATURAL FOODS INC
HPK;HighPeak Energy, Inc.
XMTR;Xometry, Inc.
FBNC;FIRST BANCORP /NC/
FL;FOOT LOCKER, INC.
MSGE;Madison Square Garden Entertainment Corp.
BCRX;BIOCRYST PHARMACEUTICALS INC
OI;O-I Glass, Inc. /DE/
CUBI;Customers Bancorp, Inc.
NIC;NICOLET BANKSHARES INC
TFIN;Triumph Financial, Inc.
NTB;Bank of N.T. Butterfield & Son Ltd
DRH;DiamondRock Hospitality Co
SVV;Savers Value Village, Inc.
PAX;Patria Investments Ltd
NTCT;NETSCOUT SYSTEMS INC
GDYN;GRID DYNAMICS HOLDINGS, INC.
PRG;PROG Holdings, Inc.
TALO;TALOS ENERGY INC.
IAS;INTEGRAL AD SCIENCE HOLDING CORP.
UCTT;Ultra Clean Holdings, Inc.
CHCO;CITY HOLDING CO
REVG;REV Group, Inc.
DVAX;DYNAVAX TECHNOLOGIES CORP
LKFN;LAKELAND FINANCIAL CORP
NEO;NEOGENOMICS INC
PRM;Perimeter Solutions, Inc.
PD;PagerDuty, Inc.
THS;TreeHouse Foods, Inc.
SPHR;Sphere Entertainment Co.
CNXN;PC CONNECTION INC
GTY;GETTY REALTY CORP /MD/
GERN;GERON CORP
HMN;HORACE MANN EDUCATORS CORP /DE/
KMT;KENNAMETAL INC
STR;Sitio Royalties Corp.
SJW;SJW GROUP
PHR;Phreesia, Inc.
FCF;FIRST COMMONWEALTH FINANCIAL CORP /PA/
EXPI;EXP World Holdings, Inc.
WWW;WOLVERINE WORLD WIDE INC /DE/
SOI;Solaris Energy Infrastructure, Inc.
NWBI;Northwest Bancshares, Inc.
TNC;TENNANT CO
STGW;Stagwell Inc
ROG;ROGERS CORP
MTTR;Matterport, Inc./DE
TVTX;Travere Therapeutics, Inc.
UPBD;UPBOUND GROUP, INC.
SONO;Sonos Inc
STER;Sterling Check Corp.
WKC;WORLD KINECT CORP
NBHC;National Bank Holdings Corp
GNL;Global Net Lease, Inc.
VRNT;VERINT SYSTEMS INC
ARIS;Aris Water Solutions, Inc.
NAPA;Duckhorn Portfolio, Inc.
IRON;Disc Medicine, Inc.
WVE;Wave Life Sciences Ltd.
IOVA;IOVANCE BIOTHERAPEUTICS, INC.
ALGT;Allegiant Travel CO
TARO;TARO PHARMACEUTICAL INDUSTRIES LTD
SRCE;1ST SOURCE CORP
NGVT;Ingevity Corp
DXPE;DXP ENTERPRISES INC
NWN;NORTHWEST NATURAL GAS CO
KN;Knowles Corp
PBI;PITNEY BOWES INC /DE/
LZ;LEGALZOOM.COM, INC.
LOB;Live Oak Bancshares, Inc.
UTI;UNIVERSAL TECHNICAL INSTITUTE INC
VVX;V2X, Inc.
CODI;Compass Diversified Holdings
RDW;Redwire Corp
DSP;Viant Technology Inc.
ESRT;Empire State Realty Trust, Inc.
MCRI;MONARCH CASINO & RESORT INC
XPRO;EXPRO GROUP HOLDINGS N.V.
INFN;Infinera Corp
WTTR;Select Water Solutions, Inc.
NHC;NATIONAL HEALTHCARE CORP
VITL;Vital Farms, Inc.
SASR;SANDY SPRING BANCORP INC
NN;NEXTNAV INC.
MNKD;MANNKIND CORP
TROX;Tronox Holdings plc
STEL;Stellar Bancorp, Inc.
LTC;LTC PROPERTIES INC
ZUO;ZUORA INC
KOS;Kosmos Energy Ltd.
STBA;S&T BANCORP INC
SAFE;Safehold Inc.
PX;P10, Inc.
ATEN;A10 Networks, Inc.
XHR;Xenia Hotels & Resorts, Inc.
MLKN;MILLERKNOLL, INC.
BHE;BENCHMARK ELECTRONICS INC
SFL;SFL Corp Ltd.
LADR;Ladder Capital Corp
WS;Worthington Steel, Inc.
LC;LendingClub Corp
PEB;Pebblebrook Hotel Trust
DNOW;DNOW Inc.
VRE;Veris Residential, Inc.
FSLY;Fastly, Inc.
CDRE;Cadre Holdings, Inc.
DYN;Dyne Therapeutics, Inc.
PCT;PureCycle Technologies, Inc.
SPNS;SAPIENS INTERNATIONAL CORP N V
FDP;FRESH DEL MONTE PRODUCE INC
DSGR;Distribution Solutions Group, Inc.
RLJ;RLJ Lodging Trust
TCBK;TRICO BANCSHARES /
MMI;Marcus & Millichap, Inc.
VBTX;Veritex Holdings, Inc.
NAVI;NAVIENT CORP
TWKS;Thoughtworks Holding, Inc.
MLNK;MeridianLink, Inc.
EVBG;EVERBRIDGE, INC.
DO;DIAMOND OFFSHORE DRILLING, INC.
PLAB;PHOTRONICS INC
TNK;TEEKAY TANKERS LTD.
DNUT;Krispy Kreme, Inc.
UMH;UMH PROPERTIES, INC.
CLDX;Celldex Therapeutics, Inc.
VRDN;Viridian Therapeutics, Inc.\DE
CSTM;CONSTELLIUM SE
HLIO;HELIOS TECHNOLOGIES, INC.
LNN;LINDSAY CORP
EVEX;Eve Holding, Inc.
MXL;MAXLINEAR, INC
CMRE;Costamare Inc.
CTS;CTS CORP
VECO;VEECO INSTRUMENTS INC
ANDE;Andersons, Inc.
HOPE;HOPE BANCORP INC
SCL;STEPAN CO
CMPR;CIMPRESS plc
PLSE;PULSE BIOSCIENCES, INC.
AAT;American Assets Trust, Inc.
ELME;Elme Communities
NRIX;Nurix Therapeutics, Inc.
WINA;WINMARK CORP
FLNG;Flex LNG Ltd.
TWO;TWO HARBORS INVESTMENT CORP.
WABC;WESTAMERICA BANCORPORATION
MODG;Topgolf Callaway Brands Corp.
IMAX;IMAX CORP
CDNA;CareDx, Inc.
SABR;Sabre Corp
SCS;STEELCASE INC
TILE;INTERFACE INC
UNIT;Uniti Group Inc.
WLFC;WILLIS LEASE FINANCE CORP
USPH;U S PHYSICAL THERAPY INC /NV
ARDX;ARDELYX, INC.
UVV;UNIVERSAL CORP /VA/
DGII;DIGI INTERNATIONAL INC
NVAX;NOVAVAX INC
HELE;HELEN OF TROY LTD
LILA;Liberty Latin America Ltd.
LILAK;Liberty Latin America Ltd.
ALEX;Alexander & Baldwin, Inc.
GIII;G III APPAREL GROUP LTD /DE/
KAMN;KAMAN Corp
